title;budget;runtime;release_year;is_us_production;genre_Action;genre_Adventure;genre_Animation;genre_Comedy;genre_Crime;genre_Documentary;genre_Drama;genre_Family;genre_Fantasy;genre_Foreign;genre_History;genre_Horror;genre_Music;genre_Mystery;genre_Romance;genre_Science_Fiction;genre_TV_Movie;genre_Thriller;genre_War;genre_Western;popularity
Avatar;237000000;162.0;2009.0;1;1;1;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;150.437577
Pirates of the Caribbean: At World's End;300000000;169.0;2007.0;1;1;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;139.082615
Spectre;245000000;148.0;2015.0;1;1;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;107.376788
The Dark Knight Rises;250000000;165.0;2012.0;1;1;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;112.31295
John Carter;260000000;132.0;2012.0;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;43.926995
Spider-Man 3;258000000;139.0;2007.0;1;1;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;115.699814
Tangled;260000000;100.0;2010.0;1;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;48.681969
Avengers: Age of Ultron;280000000;141.0;2015.0;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;134.279229
Harry Potter and the Half-Blood Prince;250000000;153.0;2009.0;1;0;1;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;98.885637
Batman v Superman: Dawn of Justice;250000000;151.0;2016.0;1;1;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;155.790452
Superman Returns;270000000;154.0;2006.0;1;1;1;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;57.925623
Quantum of Solace;200000000;106.0;2008.0;1;1;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;107.928811
Pirates of the Caribbean: Dead Man's Chest;200000000;151.0;2006.0;1;1;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;145.847379
The Lone Ranger;255000000;149.0;2013.0;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;49.046956
Man of Steel;225000000;143.0;2013.0;1;1;1;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;99.398009
The Chronicles of Narnia: Prince Caspian;225000000;150.0;2008.0;1;0;1;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;53.978602
The Avengers;220000000;143.0;2012.0;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;144.448633
Pirates of the Caribbean: On Stranger Tides;380000000;136.0;2011.0;1;1;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;135.413856
Men in Black 3;225000000;106.0;2012.0;1;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;52.035179
The Hobbit: The Battle of the Five Armies;250000000;144.0;2014.0;1;1;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;120.965743
The Amazing Spider-Man;215000000;136.0;2012.0;1;1;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;89.866276
Robin Hood;200000000;140.0;2010.0;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;37.668301
The Hobbit: The Desolation of Smaug;250000000;161.0;2013.0;1;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;94.370564
The Golden Compass;180000000;113.0;2007.0;1;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;42.990906
King Kong;207000000;187.0;2005.0;1;1;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;61.22601
Titanic;200000000;194.0;1997.0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;1;0;0;100.025899
Captain America: Civil War;250000000;147.0;2016.0;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;198.372395
Battleship;209000000;131.0;2012.0;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;64.928382
Jurassic World;150000000;124.0;2015.0;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;418.708552
Skyfall;200000000;143.0;2012.0;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;93.004993
Spider-Man 2;200000000;127.0;2004.0;1;1;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;35.149586
Iron Man 3;200000000;130.0;2013.0;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;77.68208
Alice in Wonderland;200000000;108.0;2010.0;1;0;1;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;78.530105
X-Men: The Last Stand;210000000;104.0;2006.0;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;3.857526
Monsters University;200000000;104.0;2013.0;1;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;89.186492
Transformers: Revenge of the Fallen;150000000;150.0;2009.0;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;21.939663
Transformers: Age of Extinction;210000000;165.0;2014.0;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;116.840296
Oz: The Great and Powerful;200000000;130.0;2013.0;1;0;1;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;46.985445
The Amazing Spider-Man 2;200000000;142.0;2014.0;1;1;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;89.270217
TRON: Legacy;170000000;125.0;2010.0;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;73.79505
Cars 2;200000000;106.0;2011.0;1;0;1;1;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;49.98659
Green Lantern;200000000;114.0;2011.0;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;51.872839
